"Sr.No.","CUSTODIAN_CODE","ORGANISATION_NAME","CHK_DESC","FAIL_COUNT","category","Date"
"3977",9075,"Renfrewshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",2976,"Streets","2022-09-01"
"5079",9010,"Shetland","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",1,"Streets","2022-09-01"
"5131",9076,"South Ayrshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",4268,"Streets","2022-09-01"
"5184",9077,"South Lanarkshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",7,"Streets","2022-09-01"
"5242",9057,"West Dunbartonshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",1646,"Streets","2022-09-01"
"5335",9051,"Aberdeen City","Street not linked to any ESU(s)",188,"Streets","2022-09-01"
"5429",9052,"Aberdeenshire","Street not linked to any ESU(s)",46,"Streets","2022-09-01"
"2619",9053,"Angus","Street not linked to any ESU(s)",2380,"Streets","2022-09-01"
"4550",9054,"Argyll and Bute","Street not linked to any ESU(s)",13,"Streets","2022-09-01"
"3522",9064,"City of Edinburgh","Street not linked to any ESU(s)",16,"Streets","2022-09-01"
"4605",9056,"Clackmannanshire","Street not linked to any ESU(s)",54,"Streets","2022-09-01"
"4661",9058,"Dumfries and Galloway","Street not linked to any ESU(s)",9323,"Streets","2022-09-01"
"4074",9059,"Dundee City","Street not linked to any ESU(s)",79,"Streets","2022-09-01"
"3070",9060,"East Ayrshire","Street not linked to any ESU(s)",533,"Streets","2022-09-01"
"4700",9061,"East Dunbartonshire","Street not linked to any ESU(s)",1842,"Streets","2022-09-01"
"4767",9062,"East Lothian","Street not linked to any ESU(s)",5045,"Streets","2022-09-01"
"4818",9063,"East Renfrewshire","Street not linked to any ESU(s)",13,"Streets","2022-09-01"
"4870",9020,"Eilean Siar","Street not linked to any ESU(s)",14,"Streets","2022-09-01"
"2376",9065,"Falkirk","Street not linked to any ESU(s)",2889,"Streets","2022-09-01"
"4347",9066,"Fife","Street not linked to any ESU(s)",6,"Streets","2022-09-01"
"4920",9068,"Highland","Street not linked to any ESU(s)",12470,"Streets","2022-09-01"
"2119",9070,"Midlothian","Street not linked to any ESU(s)",1,"Streets","2022-09-01"
"5022",9072,"North Ayrshire","Street not linked to any ESU(s)",3650,"Streets","2022-09-01"
"5612",9073,"North Lanarkshire","Street not linked to any ESU(s)",3839,"Streets","2022-09-01"
"1964",9000,"Orkney","Street not linked to any ESU(s)",16,"Streets","2022-09-01"
"3983",9075,"Renfrewshire","Street not linked to any ESU(s)",3078,"Streets","2022-09-01"
"5081",9010,"Shetland","Street not linked to any ESU(s)",11,"Streets","2022-09-01"
"5134",9076,"South Ayrshire","Street not linked to any ESU(s)",4362,"Streets","2022-09-01"
"5191",9077,"South Lanarkshire","Street not linked to any ESU(s)",145,"Streets","2022-09-01"
"3371",9078,"Stirling","Street not linked to any ESU(s)",289,"Streets","2022-09-01"
"5246",9057,"West Dunbartonshire","Street not linked to any ESU(s)",1676,"Streets","2022-09-01"
"5249",9051,"Aberdeen City","If BLPU start date is < 2009/10/01 then the level should be given V4",62441,"Levels","2022-09-01"
"5338",9052,"Aberdeenshire","If BLPU start date is < 2009/10/01 then the level should be given V4",113405,"Levels","2022-09-01"
"2532",9053,"Angus","If BLPU start date is < 2009/10/01 then the level should be given V4",50296,"Levels","2022-09-01"
"4541",9054,"Argyll and Bute","If BLPU start date is < 2009/10/01 then the level should be given V4",10876,"Levels","2022-09-01"
"3511",9064,"City of Edinburgh","If BLPU start date is < 2009/10/01 then the level should be given V4",58402,"Levels","2022-09-01"
"4589",9056,"Clackmannanshire","If BLPU start date is < 2009/10/01 then the level should be given V4",1539,"Levels","2022-09-01"
"4642",9058,"Dumfries and Galloway","If BLPU start date is < 2009/10/01 then the level should be given V4",18810,"Levels","2022-09-01"
"3986",9059,"Dundee City","If BLPU start date is < 2009/10/01 then the level should be given V4",78409,"Levels","2022-09-01"
"3053",9060,"East Ayrshire","If BLPU start date is < 2009/10/01 then the level should be given V4",56474,"Levels","2022-09-01"
"4705",9061,"East Dunbartonshire","If BLPU start date is < 2009/10/01 then the level should be given V4",45762,"Levels","2022-09-01"
"4758",9062,"East Lothian","If BLPU start date is < 2009/10/01 then the level should be given V4",49537,"Levels","2022-09-01"
"4809",9063,"East Renfrewshire","If BLPU start date is < 2009/10/01 then the level should be given V4",18435,"Levels","2022-09-01"
"4865",9020,"Eilean Siar","If BLPU start date is < 2009/10/01 then the level should be given V4",1183,"Levels","2022-09-01"
"2364",9065,"Falkirk","If BLPU start date is < 2009/10/01 then the level should be given V4",75410,"Levels","2022-09-01"
"4272",9066,"Fife","If BLPU start date is < 2009/10/01 then the level should be given V4",191234,"Levels","2022-09-01"
"3102",9067,"Glasgow City","If BLPU start date is < 2009/10/01 then the level should be given V4",231247,"Levels","2022-09-01"
"4895",9068,"Highland","If BLPU start date is < 2009/10/01 then the level should be given V4",100488,"Levels","2022-09-01"
"2103",9070,"Midlothian","If BLPU start date is < 2009/10/01 then the level should be given V4",10717,"Levels","2022-09-01"
"4963",9071,"Moray","If BLPU start date is < 2009/10/01 then the level should be given V4",861,"Levels","2022-09-01"
"5027",9072,"North Ayrshire","If BLPU start date is < 2009/10/01 then the level should be given V4",64588,"Levels","2022-09-01"
"1954",9000,"Orkney","If BLPU start date is < 2009/10/01 then the level should be given V4",3143,"Levels","2022-09-01"
"3964",9075,"Renfrewshire","If BLPU start date is < 2009/10/01 then the level should be given V4",59093,"Levels","2022-09-01"
"4261",9055,"Scottish Borders","If BLPU start date is < 2009/10/01 then the level should be given V4",58031,"Levels","2022-09-01"
"5123",9076,"South Ayrshire","If BLPU start date is < 2009/10/01 then the level should be given V4",53457,"Levels","2022-09-01"
"5175",9077,"South Lanarkshire","If BLPU start date is < 2009/10/01 then the level should be given V4",16999,"Levels","2022-09-01"
"3279",9078,"Stirling","If BLPU start date is < 2009/10/01 then the level should be given V4",31860,"Levels","2022-09-01"
"5227",9057,"West Dunbartonshire","If BLPU start date is < 2009/10/01 then the level should be given V4",29611,"Levels","2022-09-01"
"5321",9051,"Aberdeen City","If BLPU start date is >= 2009/10/01 then the level should be given V4",2265,"Levels","2022-09-01"
"5407",9052,"Aberdeenshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",4045,"Levels","2022-09-01"
"2600",9053,"Angus","If BLPU start date is >= 2009/10/01 then the level should be given V4",2973,"Levels","2022-09-01"
"4540",9054,"Argyll and Bute","If BLPU start date is >= 2009/10/01 then the level should be given V4",2007,"Levels","2022-09-01"
"3505",9064,"City of Edinburgh","If BLPU start date is >= 2009/10/01 then the level should be given V4",639,"Levels","2022-09-01"
"4641",9058,"Dumfries and Galloway","If BLPU start date is >= 2009/10/01 then the level should be given V4",619,"Levels","2022-09-01"
"4061",9059,"Dundee City","If BLPU start date is >= 2009/10/01 then the level should be given V4",1032,"Levels","2022-09-01"
"3052",9060,"East Ayrshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",1063,"Levels","2022-09-01"
"4704",9061,"East Dunbartonshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",110,"Levels","2022-09-01"
"4747",9062,"East Lothian","If BLPU start date is >= 2009/10/01 then the level should be given V4",1498,"Levels","2022-09-01"
"4808",9063,"East Renfrewshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",6,"Levels","2022-09-01"
"4856",9020,"Eilean Siar","If BLPU start date is >= 2009/10/01 then the level should be given V4",268,"Levels","2022-09-01"
"2359",9065,"Falkirk","If BLPU start date is >= 2009/10/01 then the level should be given V4",4512,"Levels","2022-09-01"
"4350",9066,"Fife","If BLPU start date is >= 2009/10/01 then the level should be given V4",6370,"Levels","2022-09-01"
"3101",9067,"Glasgow City","If BLPU start date is >= 2009/10/01 then the level should be given V4",789,"Levels","2022-09-01"
"4894",9068,"Highland","If BLPU start date is >= 2009/10/01 then the level should be given V4",3229,"Levels","2022-09-01"
"2102",9070,"Midlothian","If BLPU start date is >= 2009/10/01 then the level should be given V4",831,"Levels","2022-09-01"
"5026",9072,"North Ayrshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",1436,"Levels","2022-09-01"
"1953",9000,"Orkney","If BLPU start date is >= 2009/10/01 then the level should be given V4",655,"Levels","2022-09-01"
"3963",9075,"Renfrewshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",285,"Levels","2022-09-01"
"4260",9055,"Scottish Borders","If BLPU start date is >= 2009/10/01 then the level should be given V4",4843,"Levels","2022-09-01"
"5072",9010,"Shetland","If BLPU start date is >= 2009/10/01 then the level should be given V4",5622,"Levels","2022-09-01"
"5122",9076,"South Ayrshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",90,"Levels","2022-09-01"
"3342",9078,"Stirling","If BLPU start date is >= 2009/10/01 then the level should be given V4",25,"Levels","2022-09-01"
"5226",9057,"West Dunbartonshire","If BLPU start date is >= 2009/10/01 then the level should be given V4",45,"Levels","2022-09-01"
"5332",9051,"Aberdeen City","SAO indicates first floor but level is not 1",1,"Levels","2022-09-01"
"4558",9054,"Argyll and Bute","SAO indicates first floor but level is not 1",17,"Levels","2022-09-01"
"4070",9059,"Dundee City","SAO indicates first floor but level is not 1",14,"Levels","2022-09-01"
"4766",9062,"East Lothian","SAO indicates first floor but level is not 1",25,"Levels","2022-09-01"
"2375",9065,"Falkirk","SAO indicates first floor but level is not 1",15,"Levels","2022-09-01"
"4919",9068,"Highland","SAO indicates first floor but level is not 1",126,"Levels","2022-09-01"
"3976",9075,"Renfrewshire","SAO indicates first floor but level is not 1",6,"Levels","2022-09-01"
"3369",9078,"Stirling","SAO indicates first floor but level is not 1",14,"Levels","2022-09-01"
"5245",9057,"West Dunbartonshire","SAO indicates first floor but level is not 1",10,"Levels","2022-09-01"
"5328",9051,"Aberdeen City","SAO text suggests Ground floor but level not 0",15,"Levels","2022-09-01"
"4557",9054,"Argyll and Bute","SAO text suggests Ground floor but level not 0",19,"Levels","2022-09-01"
"4069",9059,"Dundee City","SAO text suggests Ground floor but level not 0",38,"Levels","2022-09-01"
"4763",9062,"East Lothian","SAO text suggests Ground floor but level not 0",23,"Levels","2022-09-01"
"2373",9065,"Falkirk","SAO text suggests Ground floor but level not 0",13,"Levels","2022-09-01"
"4924",9068,"Highland","SAO text suggests Ground floor but level not 0",113,"Levels","2022-09-01"
"3979",9075,"Renfrewshire","SAO text suggests Ground floor but level not 0",1,"Levels","2022-09-01"
"5135",9076,"South Ayrshire","SAO text suggests Ground floor but level not 0",2,"Levels","2022-09-01"
"3366",9078,"Stirling","SAO text suggests Ground floor but level not 0",8,"Levels","2022-09-01"
"5239",9057,"West Dunbartonshire","SAO text suggests Ground floor but level not 0",7,"Levels","2022-09-01"
"5329",9051,"Aberdeen City","SAO text suggests Ground floor, but Level not 0",15,"Levels","2022-09-01"
"4548",9054,"Argyll and Bute","SAO text suggests Ground floor, but Level not 0",19,"Levels","2022-09-01"
"4073",9059,"Dundee City","SAO text suggests Ground floor, but Level not 0",38,"Levels","2022-09-01"
"4765",9062,"East Lothian","SAO text suggests Ground floor, but Level not 0",23,"Levels","2022-09-01"
"2371",9065,"Falkirk","SAO text suggests Ground floor, but Level not 0",13,"Levels","2022-09-01"
"4928",9068,"Highland","SAO text suggests Ground floor, but Level not 0",113,"Levels","2022-09-01"
"3981",9075,"Renfrewshire","SAO text suggests Ground floor, but Level not 0",1,"Levels","2022-09-01"
"5137",9076,"South Ayrshire","SAO text suggests Ground floor, but Level not 0",2,"Levels","2022-09-01"
"3368",9078,"Stirling","SAO text suggests Ground floor, but Level not 0",8,"Levels","2022-09-01"
"5243",9057,"West Dunbartonshire","SAO text suggests Ground floor, but Level not 0",7,"Levels","2022-09-01"
"4068",9059,"Dundee City","SAO text suggests Second floor but level not 2",9,"Levels","2022-09-01"
"4764",9062,"East Lothian","SAO text suggests Second floor but level not 2",13,"Levels","2022-09-01"
"2374",9065,"Falkirk","SAO text suggests Second floor but level not 2",12,"Levels","2022-09-01"
"4925",9068,"Highland","SAO text suggests Second floor but level not 2",37,"Levels","2022-09-01"
"3367",9078,"Stirling","SAO text suggests Second floor but level not 2",13,"Levels","2022-09-01"
"5240",9057,"West Dunbartonshire","SAO text suggests Second floor but level not 2",3,"Levels","2022-09-01"
